E_eV,V_m_per_s,I1,I2,I3,Phi
6962.533465004367,49489075.93382711,-1.9684544870401088e-13,-1.392976380686551e-13,-5.946347939776503e-17,-3.3620255025206373e-13
7377.760082683312,50943404.024661526,-1.9122592109127884e-13,-1.3532098060124166e-13,-5.77659208988265e-17,-3.266046676134193e-13
7817.749689997524,52440470.238119565,-1.8576681928873536e-13,-1.3145784842278783e-13,-5.611682415971944e-17,-3.1728078453568295e-13
8283.979084506618,53981530.51303437,-1.8046356347360017e-13,-1.277050006227201e-13,-5.451480569812652e-17,-3.082230789020184e-13
8778.01313597249,55567877.69632618,-1.753117045674956e-13,-1.2405928881171233e-13,-5.295852152726929e-17,-2.994239519007352e-13
9301.510038746646,57200842.62761478,-1.7030692050396603e-13,-1.205176544803969e-13,-5.1446666028392885e-17,-2.9087602165039133e-13
9856.22687739571,58881795.25570532,-1.6544501260255214e-13,-1.1707712643347903e-13,-4.997797085543884e-17,-2.8257211700688663e-13
10444.025524245699,60612145.78788407,-1.607219020463776e-13,-1.137348182971018e-13,-4.855120387098719e-17,-2.7450527154735035e-13
11066.87888863989,62393345.87298847,-1.5613362646029327e-13,-1.1048792609737068e-13,-4.71651681125753e-17,-2.6666871772577656e-13
11726.877538885456,64226889.81924371,-1.5167633658670867e-13,-1.073337259080065e-13,-4.581870078852605e-17,-2.590558811955037e-13
12426.236719115055,66114315.84788788,-1.4734629305632114e-13,-1.0426957156515245e-13,-4.4510672302443083e-17,-2.51660375293776e-13
13167.303784615016,68057207.38363707,-1.4313986325103383e-13,-1.0129289244741897e-13,-4.3239985305554724e-17,-2.444759956837584e-13
13952.566080576338,70057194.3830733,-1.3905351825643163e-13,-9.84011913193036e-14,-4.200557377611132e-17,-2.3749671514951137e-13
14784.65929071304,72115954.70206946,-1.350838299012564e-13,-9.559204223617682e-14,-4.080640212506415e-17,-2.307166785395583e-13
15666.376283769463,74235215.50339861,-1.312274678814002e-13,-9.286308850907603e-14,-3.964146432727512e-17,-2.241301978548035e-13
16600.676487609297,76416754.7057086,-1.2748119696600154e-13,-9.021204072760047e-14,-3.850978307752868e-17,-2.1773174747667956e-13
17590.69582234984,78662402.47507724,-1.2384187428330253e-13,-8.763667483924847e-14,-3.7410408970637876e-17,-2.1151595953152162e-13
18639.75722588148,80974042.76039992,-1.2030644668398857e-13,-8.513483028358545e-14,-3.634241970495661e-17,-2.0547761938727896e-13
19751.38180710058,83353614.87389705,-1.1687194817979951e-13,-8.270440817967773e-14,-3.530491930863001e-17,-1.9961166127878588e-13
20929.300664290975,85803115.11806794,-1.1353549745526326e-13,-8.034336956527116e-14,-3.4297037387933724e-17,-1.9391316405792237e-13
22177.46740832167,88324598.46045564,-1.1029429545046366e-13,-7.804973368623766e-14,-3.331792839707155e-17,-1.883773470650984e-13
